,Agreeableness_sc,Belief In Science_sc,Collectivism_sc,Conflict Awareness_sc,Conscientiousness_sc,Empathy_sc,Employment Rate_sc,Entrepreneurship_sc,Extraversion_sc,Gender Equality_sc,Hopefulness_sc,Income Mobility_sc,Income Per Capita_sc,Neuroticism_sc,Openness_sc,Religiosity_sc,Risk Taking_sc,Selflessness_sc,Tolerance_sc,Work Ethic_sc,description_pop,year_pop,total_population_pop,population_under_18_pop,population_18-54_pop,population_55+_pop,male_population_pop,female_population_pop,fips,county_name_hot,nielsen_hh_rank_hot,hotness_rank_hot,hotness_rank_yy_hot,hotness_score_hot,median_days_on_market_hot,median_days_on_market_yy_hot,median_dom_vs_us_hot,ldp_unique_viewers_per_property_yy_hot,ldp_unique_viewers_per_property_vs_us_hot,median_listing_price_hot,median_listing_price_yy_hot,median_listing_price_vs_us_hot,unemp,prop_population_under_18_pop,prop_population_18-54_pop,prop_population_55+_pop,prop_male_population_pop,prop_female_population_pop,Agreeableness_sc_norm,Belief In Science_sc_norm,Collectivism_sc_norm,Conflict Awareness_sc_norm,Conscientiousness_sc_norm,Empathy_sc_norm,Employment Rate_sc_norm,Entrepreneurship_sc_norm,Extraversion_sc_norm,Gender Equality_sc_norm,Hopefulness_sc_norm,Income Mobility_sc_norm,Income Per Capita_sc_norm,Neuroticism_sc_norm,Openness_sc_norm,Religiosity_sc_norm,Risk Taking_sc_norm,Selflessness_sc_norm,Tolerance_sc_norm,Work Ethic_sc_norm,total_population_pop_norm,population_under_18_pop_norm,population_18-54_pop_norm,population_55+_pop_norm,male_population_pop_norm,female_population_pop_norm,unemp_norm,prop_population_under_18_pop_norm,prop_population_18-54_pop_norm,prop_population_55+_pop_norm,prop_male_population_pop_norm,prop_female_population_pop_norm,predicted_price,median_rent,median_mortgage,cluster,cluster_label,edu_no_hs,edu_hs,edu_some_uni,edu_uni,unemployment,educated,employed,educated_norm,employed_norm,left_wing_norm,right_wing_norm
0,86.27965527,70.83333333,57.14285715,63.44432348,84.11381987,83.30872637,94.7,12.96829971,86.11252574,77.06349206,91.16314199,-0.2094459169999999,26168.0,77.92547585,78.22235425,91.10671937,53.33333333,82.14285715,70.0,60.38095238,"Autauga County, AL",2019.0,55869.0,12965.0,26714.0,16190.0,27078.0,28691.0,01001,"autauga, al",923.0,409.0,415.0,65.187064,55.0,-0.133858268,8.0,0.5300224920000001,1.4352,182400.0,-0.420768498,0.4648,5.3,0.2320607134546886,0.4781542537006211,0.2897850328446902,0.4846694947108414,0.5135406039127244,0.4899880693500018,0.8576259277998751,-2.432039213053812,0.6380193943303534,0.5230372870631187,0.7939111361067069,-0.0241327024970161,0.7785667851186306,-0.3941406037018614,2.5556462898948933,1.2954696436565325,-0.8308305468297229,0.2040749264656226,-0.1881086198396409,-0.2816019521684945,4.092440593390566,-2.430212930760224,1.3297190562219858,0.2466114092841093,-2.329035983432141,-0.1459630326744704,-0.1375524315656525,-0.1397474572712753,-0.1624656772859277,-0.1491480282717719,-0.1438617326754857,0.0250459534711218,0.3710936756097835,0.7181431814176259,-0.7715759667060491,-0.7314662681792378,0.6386753322405576,$239k,638.48,1596.2,0,Best of Both Worlds,11.483394622802734,33.58845901489258,28.35657119750977,26.57157325744629,4.9,24.944469451904297,95.1,0.2984961348382774,0.8089009324015402,-2.432039213053812,2.432039213053812
1,85.60333659999999,63.26816089,67.94881498,63.75101656,83.10845854,78.18783539,94.6,13.74819103,87.03380626,69.01601067,82.48401667,-0.118444084,28069.0,77.23212033,80.08636823,71.77156643,67.27297997,75.58601785,66.98354927,70.9722462,"Baldwin County, AL",2019.0,223234.0,47554.0,96435.0,79245.0,108396.0,115169.0,01003,"baldwin, al",305.0,1122.0,77.0,36.017755,49.5,-0.2442748089999999,2.5,0.206750411,0.5987,475000.0,0.217948718,1.2103,5.4,0.2130231057992958,0.4319906465860935,0.3549862476146107,0.4855711943521148,0.5159115546914896,0.1789219087129684,-0.779919421259159,0.1367259874504291,0.6776202202792143,0.0545773247135056,-0.0292423014529674,-0.077739664568191,1.0258353399096525,0.0098722702015213,0.1509452137177584,0.0887237872601786,-0.659134086579246,0.5261188077213088,-0.4611096574003557,0.6831710741104903,0.1566099542745124,-0.6146785739554361,-0.2097399291538662,-0.4027531458332973,0.2150792591066664,0.355727452594392,0.324302476305803,0.2689672285423033,0.541457631635458,0.3473125453644745,0.366166431762904,0.0786012994832701,-0.1813951429247653,-0.1801099858254669,0.2407654878747145,-0.6910914557073573,0.7423796236318972,$410k,1093.1794933333333,2732.9487333333336,0,Best of Both Worlds,9.193842887878418,27.659616470336918,31.284080505371094,31.862459182739254,5.6,48.96169662475586,94.4,0.985876821882279,0.5009450763536573,0.1367259874504291,-0.1367259874504291
2,87.71160916,63.04693946,70.09975554,51.16570656,83.93389173,81.28918387,91.4,13.02681992,86.05621226,69.32315799999999,61.92718094,-0.593941301,17249.0,80.37520554,78.78377827,73.65736761,76.06648128,78.75301903,65.17037727,68.70410547,"Barbour County, AL",2019.0,24686.0,5082.0,11494.0,8110.0,13030.0,11627.0,01005,,,,,,,,,,,,,,8.6,0.2058656728510086,0.4656080369440168,0.3285262902049745,0.5278295390099652,0.4709957060682168,1.1486012624052098,-0.8278046646798217,0.6480421841083176,-0.9474202626115884,0.4391976493380069,0.4692814266156333,-1.7931624508456347,0.797120918728897,-0.4188359819285718,0.2427251730866255,-2.7694992966528464,-1.5562719389327584,-1.3068716158381468,0.7764452458500564,0.008978889291243,0.5404804148060345,0.5306089758093788,0.5338299831431961,-0.7930826206102097,-0.3297466612657411,-0.2394366645696631,-0.2428113936273103,-0.2289693203840056,-0.2526678870406624,-0.2349135185499636,-0.2445014398608587,1.792372371872004,-0.3891104055207585,0.4740184337440071,-0.1700629279261166,1.20108268170641,-1.2222188384850436,Not Available,0.0,0.0,1,Country Roads,26.78690719604492,35.60454177856445,26.02983665466309,11.578713417053224,7.0,-39.99109268188475,93.0,-1.5599803242413575,-0.11496663574212096,0.6480421841083176,-0.6480421841083176
3,84.83026072,63.26202805,72.034797,61.79609491,82.0992095,81.21238829,93.4,6.984126984,85.52738806,68.84405859,85.25887061,-0.198811133,18988.0,80.81373639,77.83702672,69.97465163,75.13615390000001,76.92975354,69.85950326,67.93167744,"Bibb County, AL",2019.0,22394.0,4557.0,11198.0,6639.0,11878.0,10435.0,01007,,,,,,,,,,,,,,6.6,0.2034920067875323,0.5000446548182549,0.2964633383942127,0.5304099312315799,0.465973028489774,-0.1766467847739178,-0.7812469261770142,1.1080353880593,0.4251968137735599,-0.4156941619367553,0.4569369838393129,-0.7210232094222286,-1.1187459604288763,-0.6507433979582194,0.0995635041134707,0.4745395660096549,-0.8107655139822153,-1.0122717686505411,0.949111898958096,-0.4810390868764124,-0.2091669468789304,0.4094408167385852,0.1057514055111003,0.2163660609486674,-0.5152901801488027,-0.2463071248943202,-0.2498215363499249,-0.2307045156193123,-0.2690896012175454,-0.2419466794839383,-0.2515315928709949,0.7212654516290451,-0.4579963696998809,1.1440874124945857,-0.6678857888773788,1.3166232090426095,-1.4419084346692508,Not Available,0.0,0.0,1,Country Roads,20.942602157592773,44.8787727355957,23.800098419189453,10.378525733947754,6.6,-42.20682716369629,93.4,-1.623395350441231,0.06100813914238889,1.1080353880593,-1.1080353880593
4,85.54809605,33.33333333,80.0,63.13650226,83.16597632,81.52184369,94.5,11.5727003,87.16475656,64.58511396,79.49270348,0.2983758019999999,21033.0,78.76462019,78.19310515,92.04545455,57.60381485,79.30763224,64.95328771,76.0,"Blount County, AL",2019.0,57826.0,13255.0,26111.0,18460.0,28554.0,29286.0,01009,"blount, al",897.0,391.0,188.0,65.916297,47.5,-0.362416107,0.5,-0.124031154,1.2875,229950.0,-0.014781491,0.5859,5.5,0.2292221492062394,0.4515442880365233,0.3192335627572372,0.4937917199875488,0.5064503856396777,0.1535145577670368,-7.259565197286195,3.00150347328058,0.5982729006807859,0.0813784122918713,0.5066801393324213,-0.1313466266393583,0.3360848131716895,0.067298435080713,-1.1730692910199434,-0.3271884923906305,0.1272951163161221,-0.66583319044545,0.1422951468790595,-0.2967406491019465,4.283527919926094,-1.8740147630525856,0.6640458158756903,-0.839816440641819,1.42278676828352,-0.1400967626677714,-0.1336801622522083,-0.1432823313486062,-0.1371242148919614,-0.1401367908251168,-0.1403525539497885,0.1321566454954179,0.2887159401112854,0.2003654895941526,-0.3143457185867113,-0.3230063797476791,0.3285524615333238,$226k,601.9395733333333,1504.8489333333334,1,Country Roads,19.50943756103516,33.4221305847168,33.97502136230469,13.093413352966309,4.1,-12.279157638549812,95.9,-0.7668559218149857,1.1608504821705599,3.00150347328058,-3.00150347328058
5,88.08772517,58.25588648,70.36002389,68.2247165,84.75488103,81.13291559999999,92.8,11.9047619,87.71173774,67.51194134,60.86944065,-0.576541801,17909.0,75.18434265,76.82269207,76.54395033,71.00955968,77.98663375,67.04066997,72.07041341,"Bullock County, AL",2019.0,10101.0,2106.0,4874.0,3121.0,5547.0,4597.0,01011,,,,,,,,,,,,,,7.2,0.2084942084942085,0.4825264825264825,0.308979308979309,0.5491535491535492,0.4551034551034551,1.321592144328991,-1.864868470788439,0.7099125236738231,1.2552733341720117,0.821747291034927,0.4441622112028471,-1.042664981849255,0.4413666515868095,0.3071683050122538,-0.2984919407428131,-2.916567539711812,-1.5234436709556929,-1.195062588153374,-1.267399382091196,-1.0060366032255788,1.1280682527183723,-0.1280171100286378,0.3538928744884509,-0.3904565226613704,0.4788679883496923,-0.283156413188827,-0.2825488883749311,-0.2677767273357976,-0.3083632861082826,-0.28059853874869,-0.2859628288384239,1.042597527701933,-0.3128278925981835,0.8032181709217635,-0.473557571031786,2.155893875242899,-1.9173385515025507,Not Available,0.0,0.0,1,Country Roads,25.32037734985352,40.27601623535156,22.34896469116211,12.05463981628418,5.5,-44.45852661132813,94.5,-1.687839705411539,0.5449387700747816,0.7099125236738231,-0.7099125236738231
6,88.37741841,62.49436916,66.85955289,60.78853212,83.27629142,81.8463715,92.9,10.42553191,88.73849064,64.76908919,83.52376528,-0.422989987,19011.0,78.56368024,76.10976132,76.62392367,69.05810392,79.95664803,67.920284,72.77395274,"Butler County, AL",2019.0,19448.0,4274.0,8363.0,6811.0,9076.0,10425.0,01013,,,,,,,,,,,,,,7.1,0.219765528589058,0.4300185109008638,0.3502159605100781,0.4666803784450843,0.5360448375154258,1.4548337180523696,-0.9474131642837188,-0.122210665370147,0.295098284392527,0.1327810334694709,0.5588460970590234,-0.9890580197780802,-0.0276308259474163,0.757434408454476,-1.1180948944192028,0.2332904665682927,-1.2337318919760358,-1.0083753934433446,0.0631772726355546,-1.375034027378396,1.1443474889292873,-0.3821795769521611,0.8164261234983428,-0.2010981593421133,0.6478638790876696,-0.2551380045262748,-0.2536003370937343,-0.2473236997142262,-0.267169455168311,-0.2590533782139705,-0.2515905706647041,0.9890421816897847,0.0142761445923356,-0.2184838746140062,0.1667000060702531,-1.536953109384021,1.6230001102896012,Not Available,0.0,0.0,1,Country Roads,14.950430870056152,45.18416595458984,23.728200912475582,16.137203216552734,8.8,-19.082420349121087,91.2,-0.9615674662608589,-0.9068531227224028,-0.122210665370147,0.122210665370147
7,85.03932433,63.19337253,66.76454576,47.56576253,82.33405695,82.31821473,93.3,9.818027931,87.39785984,69.01533224,83.36560784,-0.212033628,22231.0,79.43903249,79.95512057,77.91874056,54.06356759,76.74572381,67.45614974,68.29279443,"Calhoun County, AL",2019.0,113605.0,24473.0,52777.0,36355.0,54818.0,59252.0,01015,"calhoun, al",525.0,1093.0,165.0,37.25428,47.0,-0.356164384,0.0,-0.005354571,0.5577,166950.0,0.012431777,0.4254,6.7,0.2154218564323753,0.4645658201663659,0.3200123234012587,0.4825315787157255,0.5215615509880727,-0.0804900211411513,-0.7961079922472054,-0.1447955220930036,-1.4122522599871836,-0.3062642243590841,0.6346921516383288,-0.7746301714934035,-0.2202430875085854,0.1695221595865798,0.1507424892537885,0.2113002511558636,-0.8357128750664656,-0.462882864435817,0.4078375018944329,0.6152401446813912,1.4079181988958045,-2.335105398856107,0.0625436634173174,-0.3010143735411906,-0.4285469310035598,0.0271054216468216,0.0161098969140581,0.0130376556266937,0.0626491197071694,0.0202095101904317,0.0363803026791897,0.7748207976411933,-0.1117812015504833,0.4537389413040799,-0.3022543536340651,-0.827194328203235,0.989507850648898,$161k,428.39686666666665,1070.9921666666667,1,Country Roads,15.567325592041016,32.79061508178711,33.16099548339844,18.48106384277344,7.1,6.197856903076172,92.9,-0.2380378838817202,-0.1589603294632453,-0.1447955220930036,0.1447955220930036
8,86.22466621,62.06773106,69.71606748,65.48542297,83.80712598,80.92258106,94.5,9.949409781,88.05228674,69.43330861,85.37151711,-0.456320047,21532.0,76.9953577,78.15677116,75.89110012,67.34377522,79.12855822,66.39778533,69.55444137,"Chambers County, AL",2019.0,33254.0,6913.0,14781.0,11560.0,15910.0,17334.0,01017,"chambers, al",1202.0,1239.0,190.0,30.818009000000004,73.5,-0.289855072,26.5,0.297742941,0.8434,169950.0,0.258888889,0.433,5.5,0.207884765742467,0.444487881157154,0.3476273531003789,0.478438684068082,0.5212606002285439,0.4646963887710189,-1.0397625775888806,0.5568328205440165,0.9015702564750102,0.3801296538818633,0.4103521573831649,-0.1313466266393583,-0.1785877961337937,0.4565106358312315,0.2756397307689491,0.4902019388986948,-1.2966169255328437,-0.5812987892110536,-0.5543323141488073,-0.3155463307466083,0.995175181365644,-0.605458023966402,0.622001608823616,-0.5288531137588183,-0.1254890359713872,-0.2137533730942434,-0.2183626863413919,-0.2097004462676097,-0.214153329657762,-0.2173306162150268,-0.2108428129910202,0.1321566454954179,-0.3305144796930011,0.0630616646780371,0.1265081998328879,-1.0104591830415937,0.9763444035035016,$131k,348.37897333333336,870.9474333333335,1,Country Roads,18.37824249267578,36.73546600341797,31.59023094177246,13.296061515808104,6.8,-15.30959701538086,93.2,-0.8535880614537348,-0.026979248299866036,0.5568328205440165,-0.5568328205440165
9,85.37771542,63.91441214,68.12855674,59.87521422,83.38027686,78.77560226,94.8,8.630952381,86.87751343,69.53977937,82.95544705,-0.040916046,22544.0,78.90249834,78.27427378,74.91598108,72.36332717,78.30405658,68.0693282,65.10916925,"Cherokee County, AL",2019.0,26196.0,4947.0,10909.0,10340.0,12977.0,13277.0,01019,"cherokee, al",,1067.0,131.0,38.776157,66.0,-0.258426966,19.0,0.066501257,0.9235,299900.0,0.2694179889999999,0.7642,5.2,0.1888456252863032,0.4164376240647427,0.394716750648954,0.4953809741945335,0.5068331042907314,0.0751496526239971,-0.640032890297137,0.1794537479533944,0.1771688443351253,0.1812342749595752,0.0652378039454464,0.029474259574151,-0.5966114969893541,-0.058667456893541,0.3074546973088612,0.1542714820645624,-0.5128591242412402,-0.4098582800944021,0.1965831375579968,-0.2547295345694116,0.796681618561818,0.0483009454210375,0.428419548919366,-0.1690127618704187,-1.193279690250944,-0.2349103141812547,-0.2446140017559827,-0.2323986758321624,-0.2277729702395413,-0.2352370927943218,-0.2347701038988413,-0.0285093925410258,-0.8830477815104464,-0.4827412707973477,0.8576379706182093,-0.2518453881712185,0.3452923984671637,$274k,729.4378533333334,1823.5946333333334,1,Country Roads,18.427465438842773,40.256439208984375,28.56310272216797,12.7529935836792,4.6,-23.042280197143555,95.4,-1.0748999156457086,0.9408820135649256,0.1794537479533944,-0.1794537479533944
